epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,494.408,0,0,0,0.01926,0,0,0,0,0,0,0,0,0,3.37146,10.5843,1.38481,7.24134,3.54776,0.000614,0.000614,0.000614
37,507.542,0,0,0,0.01751,0,0,0,0,0,0,0,0,0,3.37146,10.5843,1.38481,7.24134,3.54776,0.0005744,0.0005744,0.0005744
38,520.759,0,0,0,0.01697,0,0,0,0,0,0,0,0,0,3.37146,10.5843,1.38481,7.24134,3.54776,0.0005348,0.0005348,0.0005348
39,533.75,0,0,0,0.01558,0,0,0,0,0,0,0,0,0,3.36317,10.5621,1.28325,7.11509,3.55401,0.0004952,0.0004952,0.0004952
40,547.095,0,0,0,0.01593,0,0,0,0,0,0,0,0,0,3.36317,10.5621,1.28325,7.11509,3.55401,0.0004556,0.0004556,0.0004556
41,560.212,0,0,0,0.01612,0,0,0,0,0,0,0,0,0,3.35806,10.5527,1.22501,7.05633,3.52965,0.000416,0.000416,0.000416
42,573.297,0,0,0,0.01377,0,0,0,0,0,0,0,0,0,3.35806,10.5527,1.22501,7.05633,3.52965,0.0003764,0.0003764,0.0003764
43,586.384,0,0,0,0.01404,0,0,0,0,0,0,0,0,0,3.35806,10.5527,1.22501,7.05633,3.52965,0.0003368,0.0003368,0.0003368
44,599.607,0,0,0,0.01368,0,0,0,0,0,0,0,0,0,3.31076,10.5547,1.22059,7.04979,3.51041,0.0002972,0.0002972,0.0002972
45,613.038,0,0,0,0.01249,0,0,0,0,0,0,0,0,0,3.31076,10.5547,1.22059,7.04979,3.51041,0.0002576,0.0002576,0.0002576
46,625.921,0,0,0,0.01289,0,0,0,0,0,0,0,0,0,3.31076,10.5547,1.22059,7.04979,3.51041,0.000218,0.000218,0.000218
47,638.919,0,0,0,0.01172,0,0,0,0,0,0,0,0,0,3.26219,10.559,1.20401,7.03288,3.49274,0.0001784,0.0001784,0.0001784
48,652.015,0,0,0,0.01176,0,0,0,0,0,0,0,0,0,3.26219,10.559,1.20401,7.03288,3.49274,0.0001388,0.0001388,0.0001388
49,664.881,0,0,0,0.01143,0,0,0,0,0,0,0,0,0,3.21956,10.5337,1.23788,7.02688,3.47547,9.92e-05,9.92e-05,9.92e-05
50,678.2,0,0,0,0.01081,0,0,0,0,0,0,0,0,0,3.21956,10.5337,1.23788,7.02688,3.47547,5.96e-05,5.96e-05,5.96e-05
